,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
39,generative_ai_with_langchain,benman1,"Build large language model (LLM) apps with Python, ChatGPT and other models. This is the companion repository for the book on generative AI with LangChain.",https://github.com/benman1/generative_ai_with_langchain,Jupyter Notebook,2023-07-11T15:20:05Z,2024-10-05T17:36:28Z,600,242,2,MIT License
40,ask-multiple-pdfs,alejandro-ao,A Langchain app that allows you to chat with multiple PDFs,https://github.com/alejandro-ao/ask-multiple-pdfs,Python,2023-05-19T12:49:03Z,2024-10-05T16:09:22Z,1661,940,54,
41,GPTCache,zilliztech,Semantic cache for LLMs. Fully integrated with LangChain and llama_index. ,https://github.com/zilliztech/GPTCache,Python,2023-03-24T05:51:16Z,2024-10-05T16:17:28Z,7146,503,75,MIT License
42,tutorials-LangChain,sophiamyang,,https://github.com/sophiamyang/tutorials-LangChain,Jupyter Notebook,2023-03-20T22:46:16Z,2024-10-06T10:41:09Z,388,173,1,
43,langchain-supabase-website-chatbot,mayooear,"Build a chatgpt chatbot for your website using LangChain, Supabase, Typescript, Openai, and Next.js. ",https://github.com/mayooear/langchain-supabase-website-chatbot,TypeScript,2023-03-10T15:49:18Z,2024-09-23T01:36:30Z,665,188,7,
44,langchain-java,HamaWhiteGG,"Java version of LangChain, while empowering LLM for Big Data.",https://github.com/HamaWhiteGG/langchain-java,Java,2023-05-24T15:22:43Z,2024-10-02T00:24:14Z,545,106,17,Apache License 2.0
45,wtf-langchain,sugarforever,,https://github.com/sugarforever/wtf-langchain,Jupyter Notebook,2023-07-19T10:56:58Z,2024-09-29T15:50:02Z,271,137,2,MIT License
46,langchain-examples,alphasecio,A collection of apps powered by the LangChain LLM framework.,https://github.com/alphasecio/langchain-examples,Python,2023-05-19T06:34:46Z,2024-10-05T14:21:31Z,405,115,2,MIT License
47,quarkus-langchain4j,quarkiverse,Quarkus Langchain4j extension,https://github.com/quarkiverse/quarkus-langchain4j,Java,2023-11-13T09:10:27Z,2024-10-04T09:25:23Z,134,80,96,Apache License 2.0
48,langchain-course,SamurAIGPT,Learn to build and deploy AI apps. ,https://github.com/SamurAIGPT/langchain-course,Jupyter Notebook,2023-05-19T12:18:28Z,2024-10-03T14:48:13Z,953,77,0,
49,Updated-Langchain,krishnaik06,,https://github.com/krishnaik06/Updated-Langchain,Jupyter Notebook,2024-04-01T08:34:37Z,2024-09-29T06:01:36Z,142,157,4,GNU General Public License v3.0
50,langchain-in-action,huangjia2019,极客时间：LangChain实战课,https://github.com/huangjia2019/langchain-in-action,Python,2023-09-04T13:18:35Z,2024-09-30T15:17:50Z,413,130,3,
