,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
43,LARS,abgulati,"An application for running LLMs locally on your device, with your documents, facilitating detailed citations in generated responses.",https://github.com/abgulati/LARS,Python,2024-06-05T16:31:08Z,2024-10-06T14:57:36Z,469,33,1,GNU Affero General Public License v3.0
44,GenAIEval,opea-project,"Evaluation, benchmark, and scorecard, targeting for performance on throughput and latency, accuracy on popular evaluation harness, safety, and hallucination",https://github.com/opea-project/GenAIEval,Python,2024-04-19T11:17:10Z,2024-10-03T23:41:22Z,21,34,26,Apache License 2.0
45,FlowTest,FlowTestAI,GenAI powered OpenSource IDE for API first workflows,https://github.com/FlowTestAI/FlowTest,JavaScript,2023-09-12T01:38:25Z,2024-09-28T20:22:23Z,239,19,3,MIT License
46,boa303,viktoriasemaan,repo for demos Unlock insights with AWS GenAI services (re:Invent BOA303),https://github.com/viktoriasemaan/boa303,Jupyter Notebook,2023-12-14T23:19:30Z,2024-09-26T20:41:18Z,142,65,0,
47,terraform-genai-rag,GoogleCloudPlatform,Deploys a Generative AI RAG solution,https://github.com/GoogleCloudPlatform/terraform-genai-rag,Python,2023-11-27T15:45:25Z,2024-10-05T20:21:33Z,53,28,15,Apache License 2.0
48,krs,kubetoolsca,A GenAI-powered Kubetools Recommender System,https://github.com/kubetoolsca/krs,Python,2024-06-06T17:08:45Z,2024-10-03T21:54:12Z,85,16,12,Apache License 2.0
49,learning-llms-and-genai-for-dev-sec-ops,jedi4ever,"A set of lessons aimed at anyone learning LLM and generative AI concepts,  with sections on operations and security, as well as development.",https://github.com/jedi4ever/learning-llms-and-genai-for-dev-sec-ops,Jupyter Notebook,2023-09-03T17:34:46Z,2024-10-04T05:03:54Z,250,40,2,
50,auto-dev-vscode,unit-mesh,"AutoDev -  🧙‍the AI-powered coding wizard . Put the most loved AutoDev AI assistant into your VSCode, and have things done quickly",https://github.com/unit-mesh/auto-dev-vscode,TypeScript,2023-04-20T01:19:41Z,2024-10-04T11:42:28Z,244,42,5,MIT License
51,genai-handbook.github.io,genai-handbook,"A roadmap for ""generative AI"" learning resources",https://github.com/genai-handbook/genai-handbook.github.io,CSS,2024-05-21T21:02:14Z,2024-10-01T13:59:56Z,147,22,0,
52,activate-genai,Azure,Activate GenAI with Azure,https://github.com/Azure/activate-genai,HCL,2023-10-06T07:53:05Z,2024-09-27T04:03:36Z,19,18,1,MIT License
