,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
51,fluent,vapor,"Vapor ORM (queries, models, and relations) for NoSQL and SQL databases",https://github.com/vapor/fluent,Swift,2016-01-27T22:41:05Z,2024-10-06T11:47:01Z,1322,172,17,MIT License
52,incubator-pegasus,apache,"Apache Pegasus - A horizontally scalable, strongly consistent and high-performance key-value store",https://github.com/apache/incubator-pegasus,C++,2015-09-01T02:29:37Z,2024-09-30T06:27:50Z,1973,314,235,Apache License 2.0
53,nosqlpot,torque59,The NoSQL Honeypot Framework,https://github.com/torque59/nosqlpot,Python,2015-04-03T15:53:03Z,2024-09-21T11:29:14Z,102,23,5,GNU General Public License v2.0
54,infinispan,infinispan,Infinispan is an open source data grid platform and highly scalable NoSQL cloud data store.,https://github.com/infinispan/infinispan,Java,2010-11-04T12:33:19Z,2024-10-05T10:17:46Z,1193,628,17,Apache License 2.0
55,mongo-c-driver,mongodb,The Official MongoDB driver for C language,https://github.com/mongodb/mongo-c-driver,C,2013-04-28T19:34:36Z,2024-10-04T16:49:42Z,813,453,11,Apache License 2.0
56,tidis,yongman,"Distributed transactional NoSQL database, Redis protocol compatible using tikv as backend",https://github.com/yongman/tidis,Go,2018-04-17T07:25:40Z,2024-10-01T12:31:18Z,1439,137,0,MIT License
57,tinydb,msiemens,TinyDB is a lightweight document oriented database optimized for your happiness :),https://github.com/msiemens/tinydb,Python,2013-07-12T23:31:13Z,2024-10-06T02:15:10Z,6759,535,15,MIT License
58,couchbase-lite-net,couchbase,"A lightweight, document-oriented (NoSQL), syncable database engine for .NET",https://github.com/couchbase/couchbase-lite-net,C#,2013-10-14T21:18:36Z,2024-09-28T02:58:33Z,436,126,3,Apache License 2.0
59,neo4j,neo4j,Graphs for Everyone,https://github.com/neo4j/neo4j,Java,2012-11-12T08:46:15Z,2024-10-06T14:34:48Z,13206,2378,315,GNU General Public License v3.0
60,jetty-nosql-memcached,yyuu,memcached session manager for jetty (based on jetty-nosql),https://github.com/yyuu/jetty-nosql-memcached,Java,2011-09-08T13:11:29Z,2024-02-22T14:33:30Z,44,37,11,Apache License 2.0
61,nosql-database.org,edlich,nosql database website (till 2019),https://github.com/edlich/nosql-database.org,HTML,2012-07-22T20:46:56Z,2024-05-30T16:34:05Z,38,39,2,Creative Commons Attribution 4.0 International
62,dynamodb-toolbox,dynamodb-toolbox,Lightweight and type-safe query builder for DynamoDB and TypeScript,https://github.com/dynamodb-toolbox/dynamodb-toolbox,TypeScript,2019-11-24T23:16:45Z,2024-10-06T07:29:10Z,1821,172,47,MIT License
63,Alchemy-Database,JakSprats,Hybrid Relational-Database/NOSQL-Datastore,https://github.com/JakSprats/Alchemy-Database,C,2010-08-24T05:32:36Z,2023-10-22T05:19:15Z,182,29,3,
64,Sikiro.Nosql.Mongo,SkyChenSky,Easy to use mongo repository,https://github.com/SkyChenSky/Sikiro.Nosql.Mongo,C#,2017-03-22T13:38:47Z,2023-12-09T03:55:46Z,62,28,4,MIT License
65,mongo-ruby-driver,mongodb,The Official MongoDB Ruby Driver,https://github.com/mongodb/mongo-ruby-driver,Ruby,2009-01-15T16:40:45Z,2024-10-01T14:33:12Z,1425,532,9,Apache License 2.0
66,mysql-js,mysql,NoSQL node.js connector for MySQL Cluster,https://github.com/mysql/mysql-js,JavaScript,2012-09-29T15:09:28Z,2024-10-02T14:58:44Z,169,46,28,
67,nosql-openhack,solliancenet,,https://github.com/solliancenet/nosql-openhack,JavaScript,2019-11-26T13:13:01Z,2021-04-30T18:33:48Z,17,32,8,
68,Nosql-MongoDB-injection-username-password-enumeration,an0nlk,"Using this script, you can enumerate Usernames and passwords of Nosql(mongodb) injecion vulnerable web applications. ",https://github.com/an0nlk/Nosql-MongoDB-injection-username-password-enumeration,Python,2019-11-14T10:34:27Z,2024-09-03T02:53:11Z,165,36,0,
69,summitdb,tidwall,"In-memory NoSQL database with ACID transactions, Raft consensus, and Redis API",https://github.com/tidwall/summitdb,Go,2016-10-11T19:41:51Z,2024-10-01T01:44:29Z,1408,78,12,Other
70,nuster,jiangwenyuan,A high performance HTTP proxy cache server and RESTful NoSQL cache server based on HAProxy,https://github.com/jiangwenyuan/nuster,C,2017-11-01T11:01:37Z,2024-10-02T06:30:51Z,1911,157,21,Other
71,nodejs-datastore,googleapis,Node.js client for Google Cloud Datastore: a highly-scalable NoSQL database for your web and mobile applications.,https://github.com/googleapis/nodejs-datastore,TypeScript,2017-07-26T20:32:42Z,2024-10-03T09:33:52Z,214,103,92,Apache License 2.0
72,clover,ostafen,A lightweight document-oriented NoSQL database written in pure Golang.,https://github.com/ostafen/clover,Go,2022-01-28T19:25:23Z,2024-10-04T08:33:14Z,677,54,17,MIT License
73,NoSQL,dvillaj,"Jupyter Noteboks about NoSQL Databases (Neo4j, Riak, Cassandra and MongoDB)",https://github.com/dvillaj/NoSQL,Jupyter Notebook,2015-09-21T05:52:18Z,2023-05-29T06:12:25Z,5,18,0,
